ref,nama,alamat,kota,provinsi
jbk-90,PT. Casuarina Harnessindo (Naga Pacific),"Jl. Jababeka IVC Blok T 2 M, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-91,PT. Casuarina semesta,"Jl. Jababeka IVC Blok T 2 M, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-92,PT. Catra Nusantara Bersama (Supra Sukses Trinusa),"Jl. Jababeka VIB Blok J 7 E, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-93,PT. Catur Khita Persada (Monique Henriette Taufik),"Jl. Jababeka IIIH Blok C 17 BT, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-94,PT. Catur Madrakarsa Mandiri,"Jl. Industri Selatan 1 Blok OO 4A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-95,PT. Centrado Prima Inti,"Jl. Jababeka IIJ Blok CC 26, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-96,PT. Central Audio Mobil Service,"Jl. Jababeka IIIG Blok C 17 N, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-97,PT. Central Auto Mobil Service,"Jl. Jababeka IIG Blok C 17 N, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-98,PT. Centraltekindo Dwilestari,"Jl. Jababeka IXA Blok P 2 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-99,PT. Centralteknindo Dwilestari,"Jl. Jababeka IXA Blok P 2 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-100,PT. Certechs Indonesia,"Jl. Jababeka XVIID Blok U 29 E, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
