PERHITUNGAN U95% of CORRECTION,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,POINT 1 ,5.000032,,g,,,,,,,,,,,,,,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.0005736358494898132,,,,,,
,CMC,,,,,,,,,,,,,,,,0.00057,,,,gr,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.0005736358494898132,,,,gr,,
,,,,,,,,,,,,,,,,,,,,,,,
6,POINT 6,29.999973,,g,,,,,,,,,,,,,,,,,,,
,AT Used (if std. mass are combined),,,,,,,,,,,,,,,,,,,,,,
,Mass 1,Mass 2,,Mass 3,,Mass 4,Mass 5,,Mass 6,,Sr,:,stdev dr n-kali pengulangan pengukuran,,,,For uncertainty (Ref: NMI Monograph 4) :,,,,,,
,20,10,,,,,,,,,Sres,:,0.82 *a,,,,"Sr>Sres , standard uncertainty U= Sr/√n , vi=9",,,,,,
,Drift / Instability of Each mass (g),,,,,,,,,,Nilai,,,,,,"Sr=Sres, standartd uncertainty U=Sr, vi= 1000",,,,,,
,5.528128827481373e-06,1.3250188677882312e-05,,0,,0,0,,0,,Sr,=,0,,,,"Sr=0, standartd uncertainty U=Sres, vi= 1000",,,,,,
,,,,,,,,,,,Sres,=,4.1e-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,
,Weight Standard (Calibrated Mass),,,,,g,Normal,,2.9999999999999997e-05,2,,60,,1.4999999999999999e-05,,1,2.2499999999999997e-10,,8.437499999999998e-22,,,,
,Mass Instability (Drift)-Mass 1,,,,,g,Rectangular,,5.528128827481373e-06,Ö3,,50,,5.528128827481373e-06,,1,3.056020833323058e-11,,1.8678526667409117e-23,,,,
,Mass Instability (Drift)-Mass 2,,,,,g,Rectangular,,1.3250188677882312e-05,Ö3,,50,,1.3250188677882312e-05,,1,1.755674999994806e-10,,6.164789411213525e-22,,,,
