PERHITUNGAN U95%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Resolution Value :,,,,Divisor for Resolution:,,,,"Jika standar deviasi =0 (timbangan kasar) , maka STDEV = 0.82 X a",,,,,,,,Index AT used :,,20,,,,,,
,Digital,,:,0.01,,1.7320508075688772,,,a :,0.01,(jika digital),,→,0.008199999999999999,,,Max AT used :,,M2 20kg,,,,,,
,Mekanik,,:,0.002,,2.449489742783178,,,a :,0.002,(jika mekanik),,→,0.00164,,,,,,,,,,,
,,,,,,,,Max,,,,,,,For uncertainty (Ref: NMI Monograph 4) :,,,,,,,,,,
,,,,,,,S,,Sres MAX :,0.008199999999999999,→,U Max=,0.008199999999999999,,"Sr>Sres , standard uncertainty U= Sr/√n",,,,,,,,,,
,,,,,,,Sr,,,,,,,,"Sr=Sres, standartd uncertainty U=Sr",,,,,,,,,,
,,,,,,Note:,,,,,,,,,,,,,,,,,,,
,,,,,,S: stdev on n-repeat measurement,,,,,,,,,,,,,,,,,,,
,,,,,,Sr: stdev 1 cycle accuration measurement,,,,,,,,,,,,,,,,,,,
,Point 1,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
