,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Temperature Recorder,,,,,,,,,,,Tanggal Kalibrasi ,,:,2021-01-25T00:00:00,,,,,,,,,,,,,,,,,,,,,,,
,Type,:,"6100A (TYPE N,K)",,,,,,,,,,,Due Date Kalibrasi,,:,2022-01-25T00:00:00,,,,,,,,,,,,,,,,,,,,,,,
,S/N,:,253341,,,,,,,,,,,Tertelusur,,:,LK-202-IDN,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABEL NILAI KOREKSI TEMPERATURE RECORDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,,Correction (oC) Type N,,,,,,,,,,,,,,,,Correction (oC) Type K,,,,,,,,,,,,,,,,,,,,,
,oC,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,,,,,,
,800,,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,3.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,900,,2.285,2.285,2.285,2.285,2.285,2.285,2.285,2.285,2.285,2.285,4.59,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000,,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,4.03,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABEL NILAI U95% TERMOKOPEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,,Correction (oC) Thermocouple Type N,,,,,,,,,,,,,,,,Correction (oC) Thermocuple Type K,,,,,,,,,,,,,,,,,,,,,
,oC,,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,,,,,,
,-20,,<400,0.76,0,>400,2.7,0,0,0,0,0,2.9069055712217415,2.9069055712217415,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,,,,,-0.575,-0.575,-0.575,-0.575,-0.575,-0.575,-0.575,-0.575,-0.575,-0.575,-0.575,-0.575,-0.575,-0.575,-0.575,-0.575,,,,,,
,25,,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,,,,,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,,,,,,
,50,,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,,,,,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,,,,,,
,100,,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,,,,,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,,,,,,
,150,,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,,,,,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,,,,,,
,200,,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,,,,,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,,,,,,
,300,,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,,,,,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,,,,,,
,400,,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,,,,,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,,,,,,
,500,,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,2.9069055712217415,,,,,,,,,,,,,,,,,,,,,,,,,,
