STANDAR METER/INDIKATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,TABEL RECORD DRIFT,,,,,,,,,
,200,0.30000000000001137,-0.09999999999999432,-0.3499999999999943,,-0.09000000000000341,-0.12999999999999545,0.3100000000000023,,,,200,0.4000000000000057,-0.060000000000002274,0.030000000000001137,,-0.05000000000001137,0.13999999999998636,0.0800000000000125,-0.05000000000001137,,,Sumber: Excel Record Drift Standar Kalibrator,,,,,,,,,
,300,0.3499999999999943,-0.14999999999999147,-0.39999999999997726,,-0.10000000000002274,-0.17500000000001137,0.3149999999999977,,,,300,0.45000000000000284,-0.06499999999999773,1.4210854715202004e-14,,-0.060000000000002274,0.10999999999998522,0.04999999999999716,-0.06499999999999773,,,\\192.168.100.70\Users\Administrator\Documents\SIDCAL\SIDIK\7.5 Rekaman Teknis\01. MASTER OLAH DATA\Record Drift\1. Kalibrator Temperature,,,,,,,,,
,400,0.39999999999997726,-0.19999999999998863,-0.3499999999999659,,-0.160000000000025,-0.22000000000002728,0.3199999999999932,,,,400,0.5,-0.06999999999999318,-0.029999999999972715,,,0.07999999999998408,0.01999999999998181,-0.07999999999998408,,,,,,,,,,,,
,500,0.39999999999997726,-0.15000000000000568,-0.2999999999999545,,,-0.19499999999999318,0.34499999999999886,,,,500,0.5,-0.10499999999998977,-0.060000000000002274,,,0.044999999999987494,-0.014999999999986358,-0.10999999999998522,,,,,,,,,,,,
,600,0.39999999999997726,-0.10000000000002274,-0.3499999999999659,-0.39999999999997726,,-0.16999999999995907,0.37000000000000455,,,,600,0.5,-0.13999999999998636,-0.09000000000003183,#REF!,,0.009999999999990905,-0.049999999999954525,-0.13999999999998636,,,,,,,,,,,,
,700,0.34999999999996595,-0.1500000000000341,-0.39999999999997726,-0.40999999999996817,,-0.17499999999995453,0.3949999999999818,,,,700,0.4499999999999887,-0.16500000000002046,-0.1150000000000091,#REF!,,-0.024999999999977263,-0.07499999999998863,-0.1449999999999818,,,,,,,,,,,,
,800,0.2999999999999545,-0.20000000000004547,-0.44999999999998863,-0.4199999999999591,,-0.17999999999994998,0.4199999999999591,,,,800,0.39999999999997726,-0.19000000000005457,-0.13999999999998636,#REF!,,-0.05999999999994543,-0.10000000000002274,-0.14999999999997726,,,,,,,,,,,,
,900,,-0.20000000000004547,-0.5,-0.47999999999996135,,-0.17499999999995453,0.44999999999998863,,,,900,,-0.24500000000000455,-0.16500000000002046,#REF!,,-0.08499999999997954,-0.125,-0.18500000000000227,,,,,,,,,,,,
,1000,,-0.20000000000004547,0,-0.5399999999999636,,-0.16999999999995907,0.4800000000000182,,,,1000,,-0.2999999999999545,-0.19000000000005457,#REF!,,-0.11000000000001364,-0.14999999999997726,-0.22000000000002728,,,,,,,,,,,,
,1200,,0,0,-0.6600000000000819,,0.36999999999989086,0.6199999999998909,,,,1200,,-0.30999999999994543,-0.2599999999999909,#REF!,,-0.16000000000008185,-0.20000000000004547,-0.31999999999993634,,,,,,,,,,,,
